,Name,Developer,Link,Release_Date,Since_Release,Rating,Prices,Date_Checked,Sale_Event
143,Fae Tactics,,https://steamdb.info/app/995980/,,,,,,
144,HARDCORE MECHA,,https://steamdb.info/app/746580/,,,,,,
145,Happy Quest,,https://steamdb.info/app/1418160/,,,,,,
146,Fort Triumph,,https://steamdb.info/app/612570/,,,,,,
147,The Complex,,https://steamdb.info/app/1107790/,,,,,,
148,Big Farm Story,,https://steamdb.info/app/1329510/,,,,,,
149,WE ARE FOOTBALL,,https://steamdb.info/app/1196470/,,,,,,
150,Sex with the Devil,,https://steamdb.info/app/1202690/,,,,,,
151,Paratopic,,https://steamdb.info/app/897030/,,,,,,
152,秦殇 (Prince of Qin),,https://steamdb.info/app/970500/,,,,,,
153,Mysteria ~Occult Shadows~,,https://steamdb.info/app/662960/,,,,,,
154,Warhammer Age of Sigmar: Storm Ground,,https://steamdb.info/app/1233590/,,,,,,
